0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0"
0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","1","1"
0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","2","2AK"
0,0,0,0,0,0,0,"1",0,0,"0","0","0","0","1","2AK","0","1","3AK","3AK"
0,0,0,0,0,0,"1","2",0,0,"0","1","0","1","2AK","3AK","1","2","4AK","4AK"
0,0,0,"1",0,"1","2","3",0,0,"1","2","1","2AK","3AK","4AK","2","3AK","5AK","6AK"
0,0,"1","1","1","1","3","4",0,0,"1","3","1AK","3AK","4AK","5AK","3","4AK","7AK","7AK"
0,0,"1","2","1","2","4","5AK",0,0,"2","4","2AK","4AK","5AK","7AK","4AK","5AK","8AK","8AK"
0,0,"2","3","2","3","5","6AK",0,"1","3","5AK","3AK","5AK","6AK","8AK","5AK","6AK","9AK","9AK"
0,0,"3","4","3","4","6AK","7AK",0,"1","4","6AK","4AK","6AK","7AK","9AK","6AK","8AK","10AK","11 AK"
0,"1","4","5","4","5AK","7AK","9AK",0,"2","5AK","7AK","5AK","7AK","8AK","10AK","7AK","9AK","11 AK","12AK"
0,"1","5","6AK","5AK","6AK","8AK","10AK","1","3","6AK","8AK","6AK","8AK","10AK","11 AK","8AK","10AK","13AK","13AK"
0,"2","6","7AK","6AK","7AK","9AK","11AK","1","4","7AK","9AK","7AK","9AK","11 AK","13AK","9AK","11 AK","14AK","14AK"
0,"3","6AK","8AK","7AK","8AK","10AK","12AK","2","5AK","8AK","10AK","8AK","10AK","12AK","14AK","10AK","12AK","15AK","16AK"
"1","4","7AK","9AK","8AK","9AK","11AK","13AK","3","6AK","9AK","11AK","8AK","11 AK","13AK","15AK","11 AK","14AK","16AK","17AK"
"1","5AK","8AK","10AK","8AK","10AK","12AK","14AK","4","7AK","10AK","12AK","9AK","12AK","14AK","16AK","12AK","15AK","17AK","18AK"
"2","5AK","9AK","11AK","9AK","11AK","13AK","16AK","5AK","8AK","11AK","13AK","10AK","13AK","15AK","17BK","14AK","16AK","19BK","19BK"
"3","6AK","10AK","12AK","10AK","12AK","14AK","17AK","6AK","9AK","12AK","14AK","11 AK","14AK","16BK","19BK","15AK","17AK","20BK","21 BK"
"3AK","7AK","11AK","13AK","11AK","13AK","15AK","18BK","7AK","10AK","13AK","15BK","12AK","15BK","18BK","20BK","16BK","18BK","21 BK","22BK"
"4AK","8AK","12AK","14AK","12AK","14AK","16AK","19BK","8AK","11AK","14AK","16BK","13AK","16BK","19BK","21 BK","17BK","20BK","22BK","23CK"
"5AK","9AK","12AK","15AK","13AK","15AK","17AK","20BK","9AK","12AK","15AK","17BK","14BK","17BK","20BK","22CK","18BK","21 BK","23CK","24CK"
