"7EK","7EK","8EK","13EK","11EK","11EK","14EK","14EK","16ES","18ES","22ES","22ES","20ES","20ES","25ES","28ES","22ES","25ES","28ES","30ES"
"7DK","7DK","8EK","13EK","11ES","11ES","14ES","14ES","16ES","18ES","22ES","22ES","20ES","20ES","25ES","28ES","22ES","25ES","28ES","30ES"
"7DK","7DK","8EK","13EK","11EK","11EK","14EK","14EK","16ES","18ES","22ES","22ES","20ES","20ES","25ES","28ES","22ES","25ES","28ES","30ES"
"7CK","7CK","8DK","13EK","11ES","11ES","14ES","14ES","16ES","18ES","22ES","22ES","20ES","20ES","25ES","28ES","22ES","25ES","28ES","29ES"
"7CK","7CK","8DK","13EK","11DK","11DK","14DK","14EK","16ES","18ES","21 ES","21ES","20ES","20ES","24ES","27ES","21ES","24ES","27ES","29ES"
"7CK","7CK","8DK","13EK","11DS","11 DS","14DS","14ES","16ES","17ES","21 ES","21ES","20ES","20ES","24ES","27ES","21ES","24ES","27ES","29ES"
"7CK","7CK","8DK","13EK","11DK","11DK","14DK","14EK","I5ES","17ES","21 ES","21ES","19ES","19ES","24ES","27ES","21ES","24ES","27ES","28ES"
"7CK","7CK","SDK","13DK","11DS","11DS","13DS","13ES","15DS","17ES","21 ES","20ES","19ES","19ES","24ES","26ES","20ES","23ES","26ES","28ES"
"7BS","7CK","8CK","12DK","11DK","11DK","13DK","13DK","15DS","17ES","20ES","20ES","19ES","19ES","23ES","26ES","20ES","23ES","26ES","27ES"
"7BK","7BK","8CK","12DK","11DS","10DS","13DS","13DS","15DS","16DS","20DS","20ES","19ES","19ES","23ES","26ES","20ES","23ES","26ES","27ES"
"7BS","7BK","8CK","12DK","10DK","10DK","13DK","13DK","15DS","16DS","20DS","20ES","19DS","19ES","23ES","25ES","19ES","22ES","26ES","27ES"
"7BK","7BS","8CK","12DK","10CS","10DS","13DS","13DS","14DS","16DS","19DS","19ES","18ES","18ES","23ES","25ES","19ES","22ES","25ES","26ES"
"7BS","7BK","8CK","12DK","10CK","10CK","13CK","13DK","14DS","16DS","19DS","19ES","18DS","18ES","22ES","25ES","19ES","22ES","25ES","26ES"
"7BK","7BS","7CS","12DK","10CS","10CS","12CS","12DS","14DS","15DS","19DS","19DS","18DS","18DS","22ES","24ES","19ES","21 ES","25ES","26ES"
"7BS","7BK","7CK","12DK","10CK","10CK","12CK","12DK","14DS","15DS","19DS","18DS","18DS","18DS","22ES","24ES","18ES","21 ES","24ES","25ES"
"7AK","7BS","7CS","11DK","10CS","10CS","12CS","12DS","14CS","15DS","18DS","18DS","18DS","18ES","21 ES","24ES","18ES","21 ES","24ES","25ES"
"7AS","6BK","7BK","11DK","10CK","10CK","12CK","12DK","14CK","15DS","18DS","18DS","18DS","17DS","21 DS","23ES","18DS","20ES","24ES","24ES"
"7AK","6AS","7BS","1tCS","10CS","1QCS","12CS","12DS","13CS","14DK","18DS","17DS","17DS","17DS","21DS","23ES","17DS","20ES","23ES","24ES"
"6AS","6AK","7BK","11CK","10BK","9CK","12CK","12DK","13CK","14DS","18DK","17DS","17DS","170S","21DS","23DS","17DS","20ES","23ES","24ES"
"6AK","6AS","7BS","11CS","9BS","9CS","12CS","11CS","13CS","14DK","17DS","17DS","17DS","17DS","20DS","22DS","17DS","19DS","23ES","23ES"
"6AS","6AK","7BK","11CK","9BK","9BK","11CK","11CK","13CK","14CS","17DK","17DS","17CS","17DS","20DS","22DS","16DS","19DS","23ES","23ES"
"6AK","6AS","7BS","11CS","9BS","9BS","11CS","11CS","13CS","13CK","17DS","16DS","17CS","16CS","20DS","22DS","16DS","19DS","22ES","23ES"
"6AS","6AK","7BK","11CK","9BK","9BK","11CK","11CK","12CK","13CS","16CK","16DK","16CS","16DS","20DS","21 DS","16DS","18DS","22ES","22ES"
"6AK","6AS","7BS","10CS","9BS","9BS","11CS","11CS","12CS","13CK","16CS","16DS","16CS","16DS","19DS","21 DS","16DS","18DS","22ES","22ES"
"6AS","6AK","7BK","10CK","9BK","9BK","11BK","11CK","12CK","13CS","16CK","15DK","16CK","15DS","19DS","21 DS","15DS","18DS","21 ES","21ES"
