"5CK","7DK","9EK","11EK","10EK","10EK","13EK","13ES","11EK","13EK","17ES","17ES","16EK","16ES","21 ES","24ES","18ES","21 ES","24ES","26ES"
"5CK","7CK","9EK","11ES","10EK","10EK","13EK","13EP","11EK","13EK","17ES","17ES","16EP","16EP","21ES","24ES","18ES","21 ES","24ES","26ES"
"5CK","7CK","9DK","11EK","10DK","10DK","13EK","13ES","11EK","13EK","17ES","17ES","16EK","16ES","21ES","24ES","18ES","21 ES","24ES","26ES"
"5BK","7CK","9DK","11 ES","10DK","10DK","13DK","13EP","11EK","13EK","17ES","17ES","16EP","16EP","21ES","24ES","18ES","21 ES","24ES","26ES"
"5BK","7CK","9DS","11DK","10DK","10DK","13DK","13EK","11EK","13EK","17ES","17ES","16EK","16ES","21 ES","24ES","18ES","21ES","24ES","26ES"
"5BK","7BK","9CP","11DS","10DK","10DK","13DS","13ES","11DK","13EK","17ES","17ES","16EP","16EP","21EP","23ES","18ES","21 ES","24ES","25ES"
"5BK","7BK","9CK","11DP","10CK","10DK","13DP","13DP","11DK","13EK","16ES","16ES","16EK","16EK","20ES","23ES","17ES","20ES","23ES","25ES"
"5AK","7BK","9CS","11DK","10CK","10CK","13DK","12DK","11DK","13EK","16ES","16ES","16EP","16ES","20EP","23ES","17ES","20ES","23ES","25ES"
"5AK","7BK","9CP","11DS","10CK","10CK","12CS","12DS","11DK","12DK","16DS","16EP","16EK","15EP","20ES","23ES","17E3","20ES","23ES","25ES"
"5AK","7BK","9CK","1DDP","10CK","10CK","12CP","12DP","11DK","12DK","16DS","16ES","15ES","15EK","20EP","22ES","17ES","20ES","23ES","24ES"
"5AK","7BP","9CS","10CK","10CK","10CK","12CK","12DK","10DK","12DK","16DP","16EP","15DP","15ES","20ES","22ES","17ES","20ES","23ES","24ES"
"5AK","7AK","9BP","10CS","9CK","9CK","12CS","12DS","10CK","12DK","16DS","15ES","15DK","15EP","19EP","22ES","16ES","19ES","22ES","24ES"
"5AK","7AP","8BK","10CP","9BK","9CK","12CP","12DP","10CK","12DK","15DP","15DP","15DS","15DK","19ES","22ES","16ES","19ES","22ES","24ES"
"5AP","7AK","8BS","10CK","9BK","9CK","12CK","12DK","10CK","12DK","15DS","15DS","15DP","15DS","19EP","22ES","16ES","19ES","22ES","23ES"
"5AK","7AS","8BP","10CS","9BK","9BP","12CS","11CS","10CK","12DK","15DP","15DP","15DK","15DP","19DS","21 ES","16ES","19ES","22ES","23ES"
"5AS","7AP","8BK","10CP","9BK","9BK","11CP","11CP","10CK","11DS","15DK","1508","15DS","15DK","19DP","21 ES","16ES","19ES","22ES","23ES"
"5","6AK","8BS","10CK","9BK","9BP","11CK","11CK","10CK","11DP","15DS","15DP","15DP","14DS","19DS","21DS","16DS","18ES","22ES","23ES"
"5","6AS","8BP","10CS","9BK","9BK","11CS","11CS","10CK","11CK","15DP","14DS","14DK","14DP","18DP","21DS","15DS","18ES","21 ES","23ES"
"5","6AP","6BK","9BP","9BK","9BP","11CP","11CP","10CK","11CS","14DK","14DP","14DS","14DK","18DS","20DS","15DS","18ES","21 ES","22ES"
"5","6AK","8AS","9BK","9AK","9BK","11BK","11CK","10CK","11CP","14CS","14DS","14DP","14DS","18DP","20DS","15DS","18DS","21ES","22ES"
"5","6AS","8AP","9BS","9AP","9BS","11BS","11CS","9CK","11CK","14CP","14DP","14CK","14DP","18DK","20DS","15DS","18DS","21 ES","22ES"
