"18EK","20EK","22EK","24EK","30EK","30EK","33EK","33EK","34ES","36ES","40ES","40ES","38ES","38ES","43ES","46ES","40ES","43ES","46ES","48ES"
"18EK","20EK","22EK","24EK","30EK","30EK","33EK","33EK","34ES","36ES","40ES","40ES","38ES","38ES","43ES","46ES","40ES","43ES","46ES","48ES"
"18EK","20EK","22EK","24EK","30EK","30EK","33EK","33EK","34ES","36ES","39ES","40ES","38ES","38ES","43ES","46ES","39ES","42ES","46ES","47ES"
"18EK","20EK","22EK","24EK","30EK","30EK","32EK","32EK","33ES","35ES","39ES","39ES","37ES","37ES","42ES","45ES","39ES","42ES","45ES","47ES"
"18EK","20EK","22EK","23EK","29EK","29EK","32EK","32EK","33ES","35ES","38ES","39ES","37ES","37ES","42ES","45ES","38ES","41 ES","45ES","46ES"
"18EK","20EK","21EK","23EK","29EK","29EK","32EK","32EK","33ES","34ES","38ES","38ES","37ES","37ES","41ES","44ES","38ES","41 ES","44ES","46ES"
"18EK","19EK","21EK","23EK","29EK","29EK","31EK","31 EK","32ES","34ES","37ES","38ES","36ES","36ES","41ES","44ES","37ES","40ES","44ES","45ES"
"17EK","19EK","21 EK","23EK","28EK","28EK","31EK","31 EK","32ES","33ES","37ES","37ES","36ES","36ES","40ES","43ES","37ES","40ES","43ES","44ES"
"17DK","19EK","21 EK","22EK","28EK","28EK","31EK","30EK","31 ES","33ES","36ES","37ES","36ES","35ES","40ES","43ES","36ES","39ES","43ES","44ES"
"17DK","19DK","20EK","22EK","28EK","28EK","30EK","30EK","31 ES","32ES","36ES","36ES","35ES","35ES","39ES","42ES","35ES","39ES","42ES","43ES"
"17DK","19DK","20EK","22EK","27EK","27EK","30EK","30EK","31ES","32ES","35ES","36ES","35ES","35ES","39ES","42ES","35ES","38ES","42ES","43ES"
"17DK","18DK","20DK","22EK","27ES","27EK","29EK","29EK","30ES","31 ES","35ES","36ES","34ES","34ES","38ES","41ES","34ES","37ES","41 ES","42ES"
"17DK","18DK","20DK","21 EK","27DK","27ES","29EK","29EK","30ES","31 ES","34ES","35ES","34ES","34ES","38ES","41ES","34ES","37ES","41 ES","42ES"
"17DK","18DK","19DK","21 EK","27DS","26DK","29DS","28EK","29ES","30ES","34ES","34ES","34ES","33ES","38ES","40ES","33ES","36ES","40ES","41ES"
"16DK","18DK","19DK","21DK","26DK","26DS","28DK","28EK","29ES","30ES","33ES","34ES","33ES","33ES","37ES","40ES","33ES","36ES","40ES","40ES"
"16CK","18DK","19DK","20DK","26DS","26DK","28DS","28ES","29DS","29ES","33ES","33ES","33ES","33ES","37ES","39ES","32ES","35ES","39ES","40ES"
"16CS","17CK","19DK","20DK","26DK","26DS","28DK","27DK","28DS","29ES","32ES","33ES","33ES","32ES","36ES","39ES","32ES","35ES","39ES","39ES"
"16CK","17CS","19DK","20DK","25DS","25DK","27DS","27DS","28DS","28ES","32ES","32ES","32ES","32ES","36ES","38ES","31 ES","34ES","38ES","39ES"
"16CS","17CK","18DK","20DK","25DK","25DS","27DK","26DK","27DS","28ES","31DS","32ES","32DS","31ES","35ES","38ES","30ES","34ES","38ES","38ES"
"16CK","17CS","18DK","19DK","25DS","24DK","26DS","26DS","27DS","27DS","31 DS","31ES","31DS","31 ES","35ES","37ES","30ES","33ES","37ES","38ES"
"15CS","17CK","18DK","19DK","24DK","24DS","26DK","26DK","27DS","27DS","30DS","31DS","31DS","31ES","34ES","37ES","29ES","32ES","37ES","37ES"
"15CK","17CS","18CS","19DK","24DS","24DK","26DS","25DS","26DS","26DS","30DS","31DS","31DS","30DS","34ES","36ES","29ES","32ES","37ES","36ES"
