"11EK","13EK","15EK","17EK","18EK","18EK","21EK","21 EK","18EK","20EK","24EK","24EK","18ES","18ES","23ES","26ES","20ES","23ES","26ES","28ES"
"11EK","13EK","15EK","17EK","18EK","18EK","21EK","21 EK","18ES","20ES","24ES","24ES","18ES","18ES","23ES","26ES","20ES","23ES","26ES","28ES"
"11EK","13EK","15EK","17EK","18EK","18EK","21EK","21 EK","18EK","20EK","24EK","24EK","18ES","18ES","23ES","26ES","20ES","23ES","26ES","28ES"
"11EK","13EK","15EK","17EK","18EK","18EK","21 EK","21 EK","18ES","20ES","24ES","24ES","28ES","28ES","23ES","26ES","20ES","23ES","26ES","28ES"
"11DK","13DK","15EK","17EK","18EK","18EK","21 EK","21 EK","18EK","20EK","23EK","23EK","18ES","18ES","23ES","25ES","20ES","22ES","26ES","27ES"
"11DK","13DK","15EK","17EK","16EK","10EK","20EK","20EK","18ES","19ES","23ES","23ES","28ES","28ES","22ES","25ES","19ES","22ES","25ES","27ES"
"11DK","13DK","15DK","17EK","18EK","18EK","20EK","20EK","17EK","19EK","23EK","23EK","18ES","18ES","22ES","25ES","19ES","22ES","25ES","27ES"
"11DK","13DK","1SOK","16EK","17EK","17EK","20EK","20EK","17ES","19ES","23ES","23ES","17ES","17ES","22ES","25ES","19ES","22ES","25ES","26ES"
"11CK","13CK","14DK","16EK","17DK","17DK","20DK","20EK","17EK","19EK","22EK","22EK","17ES","17ES","22ES","24ES","19ES","21ES","25ES","26ES"
"11CK","13CK","14DK","16EK","17DK","17DK","20DK","20EK","17ES","18ES","22ES","22ES","17ES","17ES","22ES","24ES","18ES","21 ES","24ES","26ES"
"11CK","12CK","14DK","16DK","17DS","17DK","19DK","19EK","17DK","18EK","22EK","22EK","17DS","17ES","21 ES","24ES","18EK","21 ES","24ES","26ES"
"11CK","12CK","14DK","16DK","17DK","17DS","19DK","19EK","17DS","18ES","22ES","21ES","17DS","17ES","21 ES","24ES","18ES","21 EK","24ES","25ES"
"10CK","12CK","14DK","16DK","17DS","17DK","19DS","19DK","16DK","18EK","21 EK","21EK","17DK","17ES","21 ES","23ES","18EK","20ES","24ES","25EK"
"10CS","12CK","14CK","15DK","16DK","16DS","19DK","19DK","16DS","18DS","21DS","21ES","17DS","16DK","21ES","23ES","17ES","20EK","23ES","25ES"
"10CK","12CK","14CK","15DK","16DS","16DK","19DS","19DS","16DK","17DK","21 DK","21EK","16DK","16DS","20EK","23ES","17DK","20ES","23EK","24EK"
"10BS","12BK","13CK","15DK","16DK","16DS","18DK","18DK","16DS","17DS","21 DS","20ES","16DS","16DK","20DS","22EK","17DS","20EK","23ES","24ES"
"10BK","12BS","13CK","15DK","16DS","16DK","18DS","18DS","16DK","17DK","20DK","20EK","16DK","16DS","20DK","22ES","17DK","19ES","23EK","24EK"
"10BS","12BK","13CK","15DK","16DK","16DS","18DK","18DK","15DS","17DS","20DS","20DS","16DS","16DK","20DS","22 EK","16DS","19DK","23ES","23ES"
"10BK","12BS","13CK","15DK","16CS","16DK","18DS","18DS","15DK","16DK","20DK","20DK","16DK","16DS","20DK","22DS","16DK","19DS","22EK","23EK"
"10BS","11BK","13CK","14DK","15CK","15CS","18CK","17DK","15DS","16DS","20DS","19DS","16DS","16DK","19DS","21 DK","16DS","19DK","22ES","23ES"
"10BK","11BS","13CS","14DK","15CS","15CK","17CS","17DS","15CK","16DK","19DK","19DK","16CK","15DK","19DK","21 DS","16DK","18DK","22EK","23EK"
"10AS","11BK","13CK","14CK","15CK","15CS","17CK","17DK","15CS","16DS","19DS","19DS","15CK","15DK","19DS","21 DS","16DS","18DK","22ES","22ES"
"10AK","11AS","12BS","14CK","15CS","15CK","17CS","17DS","15CK","16DK","19DK","18DK","15CK","15DS","19DK","21DS","15DK","18DS","21EK","22EK"
"10AS","11AK","12BK","14CK","15CK","15CS","17CK","17DK","14CS","15DS","19DS","18DS","15CS","15DK","18DS","20DK","15DS","18DK","21 ES","22ES"
"9AK","11 AS","12BS","14CS","15CS","15CK","17CS","16DS","14CK","15DK","18DK","18DK","15CK","15DS","18DK","20DS","15DK","17DS","21 EK","21DK"
"9AS","11AK","12BK","13CK","15CK","14CS","16CK","16DK","14CS","15DS","18DS","18DS","15CS","15DK","18DS","20DK","15DS","17DK","21 ES","21 DS"
"9AK","11AS","12BS","13CS","14CS","14CK","16CS","16CS","14CK","15CK","18DK","17DK","15CK","14DS","18DK","20DS","14CK","17DS","20DK","21 DK"
"9AS","11AK","12BK","13CK","14CK","14CS","16CK","16CK","14CS","14CS","18DS","17DS","14CS","14DK","18DS","19DK","14CS","17DK","20DS","21DS"
"9AK","10 AS","12BS","13CS","14BS","14CK","16CS","16CS","13CK","14CK","17CK","17DK","14CK","14DS","17DK","19DS","14CK","16DS","20DK","20DK"
"9AS","10AK","12BK","13CK","14BK","14CS","16CK","15CK","13CS","14CS","17CS","17DS","14CS","14CK","17DS","19DK","14CS","16DK","20DS","20DS"
"9AK","10AS","11BS","13CS","14BS","14BK","15CS","15CS","13CK","14CK","17CK","16DK","14CK","14CS","17DK","18DS","13CK","16DS","19DK","20DK"
"9","10AK","11AK","12CK","14BK","13BS","15CK","15CK","13CS","13CS","16CS","16DS","14CS","14CK","17CS","18DK","13CS","16CK","19DS","19DS"
"9","10AS","11AS","12BS","13BS","13BK","15CS","15CS","13CK","13CK","16CK","16DK","14CK","13CS","16CK","18DS","13CK","15CS","19DK","19DK"
"9","10AK","11AK","12BK","13BK","13BS","15CK","14CK","13CS","13CS","16CS","15DS","14CS","13CK","16CS","18DK","13CS","15CK","19DS","19DS"
