"25EP","27EP","29EP","31EP","32EP","32EP","35EP","35EP","36EP","38EP","42EP","42EP","40EP","40EP","45EP","48EP","42EP","45EP","48EP","50EP"
"25EP","27EP","29EP","31EP","32EP","32EP","35EP","35EP","36EP","38EP","42EP","42EP","40EP","40EP","45EP","48EP","42EP","45EP","48EP","50EP"
"25EP","27EP","29EP","31EP","32EP","32EP","35EP","35EP","36EP","37EP","41 EP","41 EP","40EP","40EP","44EP","47EP","41 EP","44EP","47EP","49EP"
"25EP","27EP","28EP","30EP","31EP","31 EP","34EP","34EP","35EP","37EP","41 EP","41 EP","39EP","39EP","44EP","47EP","41 EP","44EP","47EP","49EP"
"24EP","26EP","28EP","30EP","31EP","31 EP","34EP","34EP","35EP","36EP","40EP","40EP","39EP","39EP","43EP","46EP","40EP","43EP","46EP","48EP"
"24EP","26EP","28EP","29EP","30EP","30EP","33EP","33EP","34EP","36EP","40EP","40EP","38EP","38EP","43EP","46EP","39EP","42EP","46EP","47EP"
"24EP","26EP","27EP","29EP","30EP","30EP","33EP","33EP","34EP","35EP","39EP","39EP","38EP","38EP","42EP","45EP","39EP","42EP","45EP","47EP"
"24EP","25EP","27EP","28EP","3QEP","29EP","32EP","32EP","33EP","35EP","39EP","39EP","37EP","37EP","42EP","45EP","38EP","41 EP","45EP","46EP"
"23EP","25EP","26EP","28EP","29EP","29EP","32EP","32EP","33EP","34EP","38EP","38EP","37EP","37EP","41EP","44EP","38EP","41 EP","44EP","45EP"
"23EK","25EP","26EP","28EP","29EP","29EP","31 EP","31 EP","32EP","34EP","38EP","38EP","37EP","37EP","41EP","44EP","37EP","40EP","44EP","45EP"
"23EP","24EK","26EP","27EP","28EP","28EP","31EP","31EP","32EP","33EP","37EP","37EP","36EP","36EP","40EP","43EP","36EP","39EP","43EP","44EP"
"23EK","24EP","25EP","27EP","28EP","28EP","30EP","30EP","31EP","33EP","37EP","37EP","36EP","36EP","40EP","43EP","36EP","39EP","43EP","44EP"
"22EP","24EK","25EK","26EP","28EP","27EP","30EP","30EP","31EP","32EP","36EP","36EP","35EP","35EP","39EP","42EP","35EP","38EP","42EP","43EP"
"22DK","23DP","24EP","26EP","27EP","27EP","29EP","29EP","30EP","32EP","35EP","36EP","35EP","35EP","39EP","42EP","35EP","38EP","42EP","42EP"
