"12EK","14EK","16EK","18EK","19EK","19EK","22EK","22EK","14EK","16EK","20EK","20EK","15EK","15EK","20EK","23EK","15EK","18EK","21 EK","23EK"
"12EK","14EK","16EK","18EK","19EK","19EK","22EK","22EK","14EK","16EK","20EK","20EK","15EK","15EK","20EK","23EK","15EK","18EK","21EK","23EK"
"12EK","14EK","16EK","18EK","19EK","19EK","22EK","22EK","14EK","16EK","20EK","20EK","15EK","15EK","20EK","23EK","15EK","18EK","21EK","23EK"
"12EK","14EK","16EK","18EK","19EK","19EK","22EK","22EK","14EK","16EK","20EK","20EK","15EK","15EK","20EK","23EK","15EK","18EK","21EK","23EK"
"12EK","14EK","16EK","18EK","19EK","19EK","22EK","22EK","14EK","16EK","20EK","20EK","15EK","15EK","20EK","23EK","15EK","18EK","21EK","22EK"
"12DK","14DK","16EK","18EK","19EK","19EK","21EK","21 EK","14EK","16EK","19EK","19EK","15EK","15EK","20EK","22EK","15EK","17EK","21 EK","22EK"
"12DK","14DK","16EK","17EK","19EK","18EK","21EK","21 EK","14EK","15EK","19EK","19EK","15EK","15EK","19EK","22EK","14EK","17EK","20EK","22EK"
"12DK","14DK","15DK","17EK","18EK","18EK","21 EK","21 EK","13DK","15EK","19EK","19EK","15EK","15EK","19EK","22EK","14EK","17EK","20EK","22EK"
"12DK","14DK","15DK","t7EK","18EK","18EK","21 EK","21 EK","13DK","15EK","19EK","19EK","14DK","14EK","19EK","22EK","14EK","17EK","20EK","21 EK"
"12DK","13DK","15DK","17EK","18DK","18DK","21DK","21 EK","13DK","15DK","19DK","18EK","14DK","14EK","19EK","21EK","14EK","17EK","20EK","21 EK"
"12CK","13CK","15DK","17EK","18DK","18DK","20DK","20EK","13DK","15DK","18DK","18EK","14DK","14DK","19EK","21 EK","14EK","16EK","20EK","21 EK"
"11CK","13CK","15DK","17DK","18DK","18DK","20DK","20EK","13DK","14DK","18DK","18EK","14DK","14DK","18EK","21 EK","13DK","16EK","19EK","21 EK"
"11CK","13CK","15DK","16DK","18DK","17DK","20DK","20EK","13DK","14DK","18DK","18EK","14DK","14DK","18DK","21 EK","13DK","16EK","19EK","20EK"
"11CK","13CK","15DK","16DK","17DK","17DK","20DK","20DK","13DK","14DK","18DK","17EK","14DK","14DK","18DK","20EK","13DK","16EK","19EK","20EK"
"11CK","13CK","14DK","16DK","17DK","17DK","20DK","19DK","13DK","14DK","17DK","17DK","14DK","14DK","18DK","20DK","13DK","16DK","19EK","20EK"
"11CK","13CK","14CK","16DK","17DK","17DK","19DK","19DK","13CK","14DK","17DK","17DK","14DK","14DK","18DK","20DK","13DK","15DK","19EK","20EK"
"11BK","13CK","14CK","16DK","17DK","17DK","19DK","19DK","12CK","14DK","17DK","17DK","13CK","13DK","17DK","20DK","12DK","15DK","18EK","19EK"
"11BK","13BK","14CK","16DK","17DK","17DK","19DK","19DK","12CK","13DK","17DK","17DK","13CK","13DK","17DK","19DK","12DK","15DK","18EK","19EK"
