"Nada.","Golpe débil. No hay daños adicionales.","+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño."
"+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño.","+4 puntos de daño.","Golpe de refilón. +6 puntos de daño. El adversario ha perdido un poco el equilibrio. Ganas la iniciativa el asalto siguiente."
"Golpe de refilón. El adversario pierde +3 puntos de vida. Tú ganas la iniciativa el asalto siguiente.","Golpe de refilón. +3 puntos de daño. Ganas la iniciativa el asalto siguiente.","Golpe contra uno de los costados del adversario. +7 puntos de daño. Ganas la iniciativa el asalto siguiente.","+5 puntos de daño El adversario debe parar el siguiente asalto, con un -10.","+6 puntos de daño. El adversario está aturdido durante 1 asalto; suma +5 a tu siguiente ataque."
"+2 puntos de daño. El adversario debe parar en el asalto siguiente.","Golpe contra uno de los costados del adversario. +4 puntos de daño. En el asalto siguiente el adversario deberá parar con un -10.","Golpe contra uno de los costados del adversario. +4 puntos de daño. En el asalto siguiente el adversario deberá parar con un -20.","Fractura menor de las costillas. +5 puntos de daño. Ganas la iniciativa el asalto siguiente.","Golpe fuerte. El adversario está aturdido y no puede parar en el asalto siguiente. Suma +10 a tu siguiente ataque."
"El adversario deberá parar en el asalto siguiente. +3 puntos de daño. Suma +5 a tu siguiente ataque.","El adversario deberá parar con un -20 en el asalto siguiente. +4 puntos de daño.","Rompes una de las costillas del adversario. +5 puntos de daño y queda aturdido durante el asalto siguiente, por culpa de este fuerte golpe en el costado.","Golpe contra un costado del adversario. +4 puntos de daño, queda aturdido y no podrá parar durante el asalto siguiente.","El daño rompe las costillas del adversario. +6 puntos de daño. El enemigo lucha con un -10. Ganas la iniciativa el asalto siguiente."
"Causas una herida en la pantorrilla del adversario. +6 puntos de daño. Ganas la iniciativa. El enemigo luchará con un -5 en el asalto siguiente.","Causas una herida en la pantorrilla del adversario. +6 puntos de daño. Ganas la iniciativa. El adversario luchará con un -20 durante los dos asaltos siguientes.","Causas una herida en la pantorrilla del adversario. +9 puntos de daño. Ganas la iniciativa. El adversario luchará con un -25 durante los 2 asaltos siguientes.","Gran herida en la pantorrilla. +10 puntos de daño. El adversario lucha con un -10. Ganas la iniciativa el asalto siguiente.","Golpe dirigido contra la parte superior de la pierna. Fractura poco importante. + 12 puntos de daño. El adversario lucha con un -10. Ganas la iniciativa el asalto siguiente."
"Golpe dirigido contra la espalda del adversario. 4 puntos de daño y deberá parar con un -25 durante el asalto siguiente.","Golpe dirigido contra la espalda del adversario. +6 puntos de daño y deberá parar durante el asalto siguiente con un -25.","Golpe dirigido contra la espalda. +5 puntos de daño, el adversario está aturdido y no puede parar durante 1 asalto. Ganas la iniciativa los 2 asaltos siguientes.","Golpe fuerte contra la espalda. +10 puntos de daño. El adversario está aturdido y sin poder parar durante el asalto siguiente.","Golpe contra la parte inferior de la espalda. +15 puntos de daño. El adversario está aturdido y sin poder parar durante el asalto siguiente."
"Golpe contra el pecho del adversario. +5 puntos de daño y deberá parar con un -25 durante el asalto siguiente. Tiene una herida en una de sus costillas.","Golpe contra el pecho del adversario. +6 puntos de daño y deberá parar durante los 2 asaltos siguientes.","Fuerte golpe contra el pecho. +5 puntos de daño. El adversario lucha con un -10, y está aturdido durante el siguiente asalto.","Golpe contra el pecho. +10 puntos de daño. El adversario tiene un par de costillas rotas y debe luchar con un -15.","Golpe contra el pecho. +15 puntos de daño. El adversario está aturdido durante 2 asaltos, y a partir de ahora lucha con un -15."
"Golpe contra el muslo del adversario. +5 puntos de daño y está obligado a parar durante el siguiente asalto con un -25.","Golpe contra el muslo del adversario. +6 puntos de daño. Ahora tiene una herida, está obligado a parar durante un asalto y lucha con un -5.","Golpe contra el muslo del adversario. +6 puntos de daño y lucha con un -5. Suma +10 a tu siguiente ataque. El adversario debe parar durante el asalto siguiente.","Golpe contra el muslo. El adversario está aturdido durante el asalto siguiente. +6 puntos de daño y lucha con un -10.","Golpe contra el muslo. El adversario está aturdido y sin poder parar durante el asalto siguiente. +10 puntos de daño y lucha con un -10."
"Golpe contra el antebrazo del adversario. +5 puntos de daño y queda aturdido durante 1 asalto. Suma +20 a tu siguiente ataque.","Golpe contra el antebrazo. El adversario lucha con un -10. +9 puntos de daño y está aturdido durante el siguiente asalto.","Desarmas al adversario con un golpe que le da en el antebrazo. +6 puntos de daño. El adversario está aturdido durante el asalto siguiente.","Golpe contra el antebrazo. El adversario está aturdido y sin poder parar durante el asalto siguiente. +10 puntos de daño y lucha con un -10.","Golpe contra el antebrazo. El adversario deja caer el arma y lucha con un -15. +10 puntos de daño y está aturdido durante el asalto siguiente."
"Destrozas el hombro del brazo en el que el adversario lleva el arma. El brazo ya no sirve para nada. El adversario está aturdido y sin poder parar durante los 2 asaltos siguientes. +8 puntos de daño.","Destrozas el hombro del brazo en el que el adversario lleva el arma. El brazo queda inútil. El adversario deja caer el arma y está aturdido y sin poder parar durante los 3 asaltos siguientes.","Destrozas la rodilla del adversario. +9 puntos de daño, cae al suelo y está aturdido y sin poder parar durante 3 asaltos, además de luchar con un -90.","Golpe contra uno de los lados de la cabeza del adversario. Si no lleva puesto un yelmo, fracturas su cráneo. Si lo lleva, le dejas inconsciente durante 4 horas. +20 puntos de daño.","Golpe contra la parte posterior del cuello, que rompe la columna vertebral y secciona la médula espinal. + 15 puntos de daño. El adversario muere inmediatamente. Suma +10 a tu siguiente ataque."
