"Nada.","No hay daños adicionales.","+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño."
"+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño.","+4 puntos de daño.","Golpe de refilón. +5 puntos de daño."
"Golpe débil, pero ganas la iniciativa. +3 puntos de daño.","Golpe moderado. Ganas la iniciativa en el siguiente asalto. +4 puntos de daño.","Golpe moderado. Ganas la iniciativa en el siguiente asalto. +5 puntos de daño.","Patada al costado del adversario que le hace perder +6 puntos de vida. Ganas la iniciativa en el siguiente asalto.","Golpe moderado, que aturde al adversario durante 1 asalto. +7 puntos de daño."
"Patada a un costado del adversario que le hace perder +4 puntos de vida. Ganas la iniciativa en el siguiente asalto.","Golpe contra un costado. El adversario pierde la iniciativa en los 2 asaltos siguientes. +5 puntos de daño.","Golpe contra el costado que obliga al adversario a parar durante el siguiente asalto. +6 puntos de daño.","Golpe contra el costado que obliga al adversario a parar con un -10 durante el siguiente asalto. +8 puntos de daño.","Golpe contra el costado que rompe las costillas del adversario y lo aturde durante un asalto. +5 puntos de daño. El adversario lucha con un -10."
"Golpe flojo pero bien colocado, que obliga al adversario a parar durante 1 asalto. +5 puntos de daño.","Golpe fuerte pero mal colocado que obliga al adversario a parar durante 1 asalto. +6 puntos de daño.","Patada a las costillas del adversario, que lo aturde durante 1 asalto. +6 puntos de daño.","Golpe contra un costado. El adversario está aturdido durante el siguiente asalto y pierde la iniciativa durante 3 asaltos. +2 puntos de daño.","Buen golpe contra el costado que rompe tres costillas. +6 puntos de daño. El adversario lucha con un -20."
"Golpe moderado contra el pecho que obliga al adversario a parar con un -10 durante el siguiente asalto. +6 puntos de daño.","Golpe contra el pecho. El adversario deberá parar con un -20 durante el siguiente asalto. +7 puntos de daño.","Consigues engañar al adversario, pero sólo das un golpe flojo. El adversario está aturdido durante 1 asalto. +8 puntos de daño.","Golpe contra el pecho. El adversario está aturdido y sin poder parar durante 1 asalto. +5 puntos de daño.","Golpe contra la espalda que aturde al adversario durante 1 asalto. Puedes golpearle por la espalda el asalto que viene."
"Tu movimiento acrobático obliga al adversario a parar con un -25 durante el siguiente asalto. +6 puntos de daño.","Patada de refilón contra la espalda del adversario. Está aturdido durante 1 asalto. +5 puntos de daño.","Golpe contra la espalda del adversario. Está aturdido y sin poder parar durante 1 asalto.","Golpe contra el pecho. El adversario está aturdido durante 2 asaltos y tiene algunas costillas rotas. Lucha con un -10. +3 puntos de daño.","Golpe contra el pecho. El adversario está aturdido durante 2 asaltos y sin poder parar durante 1 asalto. +5 puntos de daño."
"Golpe contra la cadera que aturde al adversario durante 1 asalto. +3 puntos de daño.","Golpe contra el pecho del adversario que le aturde durante 1 asalto. +6 puntos de daño.","Golpe contra el costado. El adversario está aturdido y sin poder parar durante el siguiente asalto. Suma +20 a tu siguiente ataque.","Golpe contra la parte superior de la pierna, que le causa una fuerte contusión. El adversario lucha con un -25. +6 puntos de daño.","Golpe contra la cadera que hace que el adversario gire sobre si mismo. +5 puntos de daño. El adversario está aturdido durante 3 asaltos."
"Golpe contra la parte baja del pecho que aturde al adversario durante 1 asalto. +5 puntos de daño.","Golpe contra la espalda. El adversario está aturdido durante 2 asaltos. +3 puntos de daño.","Fuerte patada giratoria que envía al adversario a 3 metros de distancia en la dirección que se prefiera. El adversario está aturdido durante 2 asaltos. +8 puntos de daño.","Golpe contra la espalda. El adversario está aturdido durante 3 asaltos. +4 puntos de daño.","Golpe contra el pecho. El adversario está aturdido durante 2 asaltos, no puede parar durante el siguiente asalto y lucha con un-10."
"Patada contra la parte superior de un pie del adversario, que no acierta del todo pero que es muy rápido. El adversario lucha con un -20. +5 puntos de daño.","Golpe contra la pantorrilla. El adversario está aturdido durante 2 asaltos. +7 puntos de daño.","Golpe contra la parte superior de la pierna. El adversario tiene ahora una contusión importante y lucha con un -25. +5 puntos de daño.","Golpe contra el nervio de la parte superior de la pierna. El adversario está aturdido durante 2 asaltos y lucha con un -25 durante 6 asaltos.","Golpe contra el antebrazo que desarma limpiamente al adversario. +3 puntos de daño."
"Golpe contra el tendón de Aquiles. Contusión importante. El adversario lucha con un -50, +7 puntos de daño y está aturdido durante 2 asaltos.","Patada contra la cabeza del adversario que tuerce el cuello y rompe la mandíbula. El adversario está aturdido durante 9 asaltos y lucha con un -50.","Golpe con el filo de la mano que rompe el brazo del arma y lo deja inútil. Le sigue un puñetazo al plexo solar que le deja inconsciente.","Movimiento asombroso. Rompes el arma del adversario, que está aturdido durante 3 asaltos. Suma +20 a tu siguiente ataque.","Un golpe con la palma de la mano destruye los oídos y el sistema de equilibrio del adversario. Lucha con un -95 y está aturdido durante 24 asaltos."
