"Nada.","Golpe débil. No hay puntos de daño adicionales.","+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño."
"+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño.","+4 puntos de daño.","El adversario pierde el equilibrio. +5 puntos de daño. Ganas la iniciativa para el siguiente asalto."
"Ganas la iniciativa para el asalto siguiente. +1 punto de daño.","Golpe de refilón al costado del adversario. +3 puntos de daño. Ganas la iniciativa para el asalto siguiente.","El golpe da contra el costado del adversario, haciendo +6 puntos de daño. Ganas la iniciativa para el asalto siguiente.","+3 puntos de daño. El adversario deberá parar durante el siguiente asalto de combate.","+4 puntos de daño. El adversario deberá parar durante el siguiente asalto."
"El adversario deberá parar durante el siguiente asalto. +1 punto de daño.","Golpe contra un costado. +2 puntos de daño. El adversario deberá parar durante el asalto siguiente, pero con un -10.","Golpe contra un costado. +4 puntos de daño. El adversario deberá parar durante el asalto siguiente, pero con un -20.","Herida leve en un costado. El adversario lucha con un -10. +2 puntos de daño. Ganas la iniciativa el asalto siguiente.","Aturdes al adversario durante 1 asalto y no puede parar. Suma +10 a tu siguiente ataque."
"El adversario debe parar durante el asalto siguiente. +2 puntos de daño. Suma +10 a tu siguiente ataque.","El adversario debe parar durante el asalto siguiente, pero con un -20. +2 puntos de daño.","Rompes una de las costillas del adversario. +3 puntos de daño. El adversario está aturdido durante el siguiente asalto.","Golpe contra el costado. El adversario está aturdido y sin poder parar durante el asalto siguiente. +3 puntos de daño.","El adversario recibe una herida leve en el costado, lucha con un -10 y pierde 1 punto de daño por asalto. +3 puntos de daño."
"Herida leve en la pantorrilla. El adversario pierde 1 punto de vida por asalto.","Herida leve en la pantorrilla. El adversario pierde 1 punto de vida por asalto. +2 puntos de daño.","Haces un corte en la pierna del adversario. Pierde 2 puntos de vida por asalto. +2 puntos de daño.","Haces un corte en la parte superior de la pierna del adversario, que pierde 3 puntos de daño más. Pierde 2 puntos de vida por asalto.","Golpe contra la parte superior de la pierna. Si el adversario lleva armadura en la pierna, +5 puntos de daño. Si no lleva, +3 puntos de daño y pierde 3 puntos de vida por asalto."
"Golpe contra la espalda del adversario. +2 puntos de daño; deberá parar en el asalto siguiente con un -30.","Golpe contra la espalda del adversario. Deberá parar durante el asalto siguiente con un -30. +4 puntos de daño.","Golpe contra la espalda, que aturde al adversario durante 1 asalto. No puede parar. +3 puntos de daño y además pierde 1 punto más por asalto.","Golpe contra la parte baja de la espalda. El adversario no puede parar y está inconsciente el asalto siguiente. +3 puntos de daño y pierde 2 puntos más por asalto.","Golpe contra la parte baja de la espalda. El adversario no puede parar y está inconsciente durante el siguiente asalto. +4 puntos de daño, y pierde otros 3 por asalto."
"Golpe contra el pecho del adversario. Debe parar durante el asalto siguiente, pero con un -25. La herida le hace perder 1 punto de vida por asalto. +2 puntos de daño.","Herida leve en el pecho. El adversario pierde 1 punto de vida por asalto y debe parar durante los 2 asaltos siguientes. +3 puntos de daño; el adversario lucha con un -5.","Herida leve en el pecho. +4 puntos de daño. El adversario pierde 2 puntos de vida por asalto y lucha con un -10; deberá parar durante el siguiente asalto.","Herida moderada en el pecho. +5 puntos de daño. El adversario pierde 3 puntos de vida por asalto, lucha con un -15 y deberá parar durante el siguiente asalto.","Herida en el pecho. El adversario pierde +4 puntos de vida por asalto, lucha con un -10 y está aturdido durante 2 asaltos. +6 puntos de daño."
"Herida leve en el muslo. El adversario pierde 2 puntos de vida por asalto y deberá parar durante el siguiente asalto. +3 puntos de daño.","Herida leve en el muslo. El adversario pierde 2 puntos de vida por asalto. +4 puntos de daño. Deberá parar durante los 2 asaltos siguientes.","Herida leve en el muslo. El adversario pierde 2 puntos de vida por asalto. +5 puntos de daño. El adversario está aturdido durante el siguiente asalto.","Herida moderada en el antebrazo. +6 puntos de daño. El adversario pierde 2 puntos de vida por asalto y está aturdido durante 2 asaltos.","Herida en el muslo. El adversario está aturdido durante 2 asaltos. +8 puntos de daño. Pierde 5 puntos de vida por asalto."
"Herida leve en el antebrazo. +3 puntos de daño. El adversario pierde 2 puntos de vida por asalto y lucha con un -10.","Herida leve en el antebrazo. El adversario está aturdido durante 1 asalto, pierde 2 puntos de vida por asalto y lucha con un -10. +4 puntos de daño.","Herida moderada en el antebrazo. +4 puntos de daño. El adversario pierde 3 puntos de vida por asalto, lucha con un -10 y está aturdido durante el siguiente asalto.","Herida moderada en el antebrazo. +4 puntos de daño. El adversario pierde 3 puntos de vida por asalto, lucha con un -10 y está aturdido durante los 2 siguientes asaltos.","Herida en el antebrazo. El adversario está aturdido durante 2 asaltos, +6 puntos de daño. Pierde 3 puntos de vida por asalto y lucha con un -15."
"Destrozas el hombro del brazo en el que el adversario lleva el escudo. El brazo queda inútil. +10 a tu siguiente ataque. El adversario está aturdido durante 3 asaltos. +9 puntos de daño. Ganas la iniciativa.","Destrozas el codo del brazo en el que el adversario lleva el arma. +8 puntos de daño. El adversario está aturdido durante 4 asaltos y no puede parar durante los dos primeros asaltos.","Destrozas la rodilla del adversario, que cae al suelo. +6 puntos de daño. El adversario lucha con un -90 y se considera que ha sido derribado durante 3 asaltos (durante los cuales no puede parar).","Dejas al adversario inconsciente durante 6 horas con un golpe contra un lado de la cabeza. +15 puntos de daño. Si el adversario no lleva yelmo, muere.","Amputas el brazo del arma del adversario. +12 puntos de daño. El adversario muere después de 12 asaltos y cae al suelo de inmediato. Suma +10 a tu siguiente ataque."
