Nada,;Golpe de refilón. No hay daños adicionales. +0 puntos de daño.;+1 punto de daño.;+2 puntos de daño.;+3 puntos de daño,
+1 punto de daño.,;+2 puntos de daño.;+3 puntos de daño.;+4 puntos de daño.;Gracias a un buen golpe, el adversario pierde el equilibrio. Ganas la iniciativa. +5 puntos de daño.
Ganas la iniciativa el asalto siguiente. +1 punto de daño.,;Golpe de refilón al costado. +3 puntos de daño. Ganas la iniciativa el siguiente asalto.;Golpe contra un costado. +5 puntos de daño. Ganas la iniciativa el siguiente asalto.;+2 puntos de daño. El adversario deberá parar en el siguiente asalto.;+3 puntos de daño. El adversario deberá parar en el siguiente asalto.
El adversario deberá parar en el siguiente asalto. +1 punto de daño.,;Golpe contra un costado. +2 puntos de daño. El adversario deberá parar en el siguiente asalto con un -10.;Golpe en un costado. +3 puntos de daño. El adversario deberá parar en el siguiente asalto, pero con un -20.;Herida leve en un costado. El adversario lucha con un -10. Ganas la iniciativa 1 asalto.;Aturdes al adversario durante 1 asalto. Suma +10 a tu siguiente ataque.
El adversario deberá parar durante el siguiente asalto. +2 puntos de daño. Suma +10 a tu siguiente ataque.,;El adversario deberá parar durante el siguiente asalto, pero con un -20. +2 puntos de daño.;Hieres al adversario en un lado del pecho  queda aturdido durante 1 asalto y pierde 1 punto de vida por asalto.;Hieres al adversario en un lado de la cadera. Está aturdido durante 1 asalto y pierde 2 puntos de vida por asalto.;El adversario sufre una herida leve en un costado. +2 puntos de daño. Lucha con un -10 y pierde 2 puntos de vida por asalto.
Herida leve en la pantorrilla. El adversario pierde 1 punto de vida por asalto.,;Herida menos grave en la pantorrilla. El adversario pierde 1 punto de vida por asalto. +2 puntos de daño.;Herida menos grave en la pantorrilla. El adversario pierde 2 puntos de vida por asalto.;Golpe contra la parte baja de la espalda. El adversario pierde 3 puntos de vida por asalto.;Golpe contra el muslo. Si el adversario lleva armadura en la pierna, +3 puntos de daño. De lo contrario, +2 puntos de daño y pierde 3 puntos de vida por asalto.
Golpe contra la espalda del adversario. +2 puntos de daño. El adversario deberá parar durante el asalto siguiente, pero con un -30.,;Golpe contra la espalda del adversario. Está aturdido durante 1 asalto y pierde 1 punto de vida por asalto.;Golpe contra la espalda del adversario, que le aturde durante 2 asaltos. Pierde 1 punto de vida por asalto.;Golpe contra la parte baja de la espalda. El adversario está aturdido y sin poder parar durante el siguiente asalto. +6 puntos de daño.;Golpe contra la parte baja de la espalda. El adversario pierde 3 puntos de vida por asalto. +5 puntos de daño. El adversario está aturdido y sin poder parar durante el siguiente asalto.
Golpe contra el pecho del adversario, quien deberá parar durante el siguiente asalto, pero con un -25. Pierde 2 puntos de vida por asalto.,;Herida leve en el pecho. El adversario pierde 2 puntos de vida por asalto. +3 puntos de daño, y deberá parar durante los siguientes 2 asaltos.;Herida leve en el pecho. El adversario pierde 2 puntos de vida por asalto. +3 puntos de daño y queda aturdido durante los 2 asaltos siguientes.;Golpe contra el pecho. +5 puntos de daño. El adversario pierde 3 puntos de vida por asalto y lucha con un -15. Deberá parar durante el siguiente asalto.;Herida en el pecho. El adversario pierde 4 puntos de vida por asalto. +5 puntos de daño y lucha con un -10. Queda aturdido y sin poder parar durante el siguiente asalto.
Herida menos grave en el muslo. El adversario pierde 2 puntos de vida por asalto. +2 puntos de daño y está aturdido durante el siguiente asalto.,;Herida menos grave en el muslo. El adversario pierde 2 puntos de vida por asalto. +3 puntos de daño y está aturdido y sin poder parar durante el siguiente asalto.;Herida menos grave en el muslo. +5 puntos de daño. El adversario pierde 2 puntos de vida por asalto y lucha con un -10. Está aturdido durante 2 asaltos.;Golpe contra el muslo. El adversario pierde 3 puntos de vida por asalto. Está aturdido y sin poder parar durante el siguiente asalto. +3 puntos de daño.;Herida en el muslo. El adversario pierde 5 puntos de vida por asalto. +6 puntos de daño. Está aturdido y sin poder parar durante el siguiente asalto.
Herida leve en el antebrazo. +2 puntos de daño. El adversario pierde 2 puntos de vida por asalto y lucha con un -10.,;Herida leve en el antebrazo. El adversario está aturdido durante el siguiente asalto. +2 puntos de daño, lucha con un -10 y pierde 2 puntos de vida por asalto.;Herida en el antebrazo. El adversario pierde 2 puntos de vida por asalto y lucha con un -10. +3 puntos de daño y está aturdido durante 2 asaltos.;Herida en el antebrazo que le hace perder 3 puntos de vida por asalto y luchar con un -10. El adversario está aturdido durante 2 asaltos.;Herida en el antebrazo. El adversario pierde 3 puntos de vida por asalto y lucha con un -15. +5 puntos de daño. Está aturdido durante 2 asaltos.
El arma atraviesa el hombro del brazo del escudo, que queda inútil. Suma +10 a tu siguiente ataque. El adversario está aturdido durante 3 asaltos.,;El arma destroza el codo del brazo del arma. +3 puntos de daño y el brazo queda inútil. El adversario está aturdido durante 4 asaltos y no puede parar durante 2.;El arma destroza la rodilla del adversario que cae al suelo, lucha con un -90 y permanece en el suelo durante 3 asaltos. No puede parar durante 2 asaltos.;Golpe contra un lado de la cabeza. El adversario cae inconsciente durante 6 horas. +10 puntos de daño. Si no lleva yelmo, lo has matado.;El arma atraviesa los dos pulmones del adversario, que cae al suelo y se desmaya, muriendo después de 6 asaltos. Suma +10 a tu siguiente ataque.
Golpe contra el cuello. +5 puntos de daño. El adversario está aturdido durante 3 asaltos y sin poder parar durante 1.,;Golpe contra la región cervical. El adversario pierde 3 puntos de vida por asalto y lucha con un -5, quedando está aturdido durante 2 asaltos.;Golpe contra el cuello. El adversario está aturdido durante 4 asaltos y no puede parar durante 2. Suma +15 a tu siguiente ataque.;Golpe contra un hombro. +3 puntos de daño. El adversario está aturdido y sin poder parar durante 2 asalto?. Lucha con un -20.;Golpe contra un hombro, que secciona músculos y tendones. El brazo queda inutilizado. El adversario pierde 3 puntos de vida por asalto, y está aturdido durante 6 asaltos.
El arma alcanza la parte baja de la pierna, desgarrando tendones. El adversario lucha con un -25. +3 puntos de daño, queda aturdido y sin poder parar durante el siguiente asalto.,;Golpe contra la pantorrilla, cortando músculos. El adversario lucha con un -40. +3 puntos de daño. Está aturdido y sin poder parar durante 2 asaltos.;Golpe contra la parte baja de la pierna. El adversario está aturdido y sin poder parar durante 2 asaltos. +5 puntos de daño y lucha con un -50. Se cortan tanto músculos como tendones.;Golpe contra la parte baja de la pierna. El adversario lucha con un -50. Se han cortado músculos y cartílagos. +6 puntos de daño. El adversario está aturdido y sin poder parar durante 2 asaltos.;Golpe que alcanza la parte baja de la pierna. El adversario está aturdido y sin poder parar durante 3 asaltos. Se han seccionado músculos el adversario lucha con un -75.
